"","recorded","fishbase"
"1","Squalus japanicus","no match"
"2","Centrophorus acus","Centrophorus granulosus"
"3","Centrophorus niaukang","Centrophorus granulosus"
"4","Etmopterus sheikoi","no match"
"5","Etmopterus viren","no match"
"6","Centroscymnus owstoni","no match"
"7","Centroselachus crepidater","Centroscymnus crepidater"
"8","Proscymnodon macracanthus","Centroscymnus macracanthus"
"9","Proscymnodon plunketi","Centroscymnus plunketi"
"10","Zameus ichiharai","Scymnodon ichiharai"
"11","Isistius labialis","Isistius brasiliensis"
"12","Chiloscyllium hasselti","no match"
"13","Apristurus laurussoni","Apristurus laurussonii"
"14","Cephaloscyllium maculatum","Cephaloscyllium fasciatum"
"15","Cephaloscyllium pardelotum","Cephaloscyllium fasciatum"
"16","Parmaturus melanobranchius","Parmaturus melanobranchus"
"17","Gollum sp. B","no match"
"18","Iago mangalorensis","no match"
"19","Hemipristis elongatus","no match"
"20","Carcharhinus tjujot","no match"
"21","Carcharhinus tilsoni","Carcharhinus tilstoni"
"22","Lamiopsis temmincki","Lamiopsis temminckii"
"23","Prionace gluaca","no match"
"24","Rhizoprionodon lalandei","Rhizoprionodon lalandii"
"25","Rhizoprionodon oligolinnx","no match"
